"","org","category","type","expense name","description","expectedattendees","event off campus","collabhso","collabrso","speaker","eventtotal","eventsplanned","actual","attendactual","eventsactual","externalreceived","totalrollover","date","amount"
"529","The African Perspective","speaker","services","Policy Roundtable: Africa’s Role in Global Sustainability","This engaging panel discussion will bring together African entrepreneurs, American scholars, and students who have worked in Africa to share their insights on Africa’s contributions to renewable energy and sustainable development. In collaboration with Booth Africa, the event seeks to secure credible speakers to ensure a high-quality and impactful discussion. The roundtable will explore how Africa is shaping the global sustainability agenda while fostering collaboration between academia, policy, and industry. With diverse speakers and an open Q&A session, attendees will gain practical knowledge about innovative approaches and policy frameworks, build meaningful connections for future partnerships, and take away actionable ideas to support Africa’s leadership in sustainability. This event aims to spark impactful conversations, promote diversity, and position the Harris School and UChicago as a key player in global discussions on Africa’s development and engagement.",50,"No","No","Yes","Yes. There'll be a woman or two. There'll be several entrepreneurs from Africa",1850,6,10276,NA,5,129.97,23154.97,NA,300
"530","The African Perspective","speaker","miscellaneous","Policy Roundtable: Africa’s Role in Global Sustainability","This engaging panel discussion will bring together African entrepreneurs, American scholars, and students who have worked in Africa to share their insights on Africa’s contributions to renewable energy and sustainable development. In collaboration with Booth Africa, the event seeks to secure credible speakers to ensure a high-quality and impactful discussion. The roundtable will explore how Africa is shaping the global sustainability agenda while fostering collaboration between academia, policy, and industry. With diverse speakers and an open Q&A session, attendees will gain practical knowledge about innovative approaches and policy frameworks, build meaningful connections for future partnerships, and take away actionable ideas to support Africa’s leadership in sustainability. This event aims to spark impactful conversations, promote diversity, and position the Harris School and UChicago as a key player in global discussions on Africa’s development and engagement.",50,"No","No","Yes","Yes. There'll be a woman or two. There'll be several entrepreneurs from Africa",1850,6,10276,NA,5,129.97,23154.97,NA,150
"531","The African Perspective","workshop","refreshments","Conflict Resolution Workshop: Lessons from Africa","This interactive workshop brings together experienced practitioners who are deeply engaged in conflict resolution and peacebuilding efforts across war-torn regions of Africa, including Sudan, Kenya, and Somalia. The purpose of the event is to shed light on African-led approaches to resolving conflict, rebuilding trust, and fostering sustainable peace in communities affected by violence, displacement, and political instability.

Participants will learn from real-life experiences and fieldwork insights shared by frontline peacebuilders. Through dynamic discussions, case study explorations, and hands-on activities, the workshop will explore traditional and innovative African methods of mediation, community reconciliation, and post-conflict healing.

This is not a lecture-style event—attendees will be encouraged to engage directly with the speakers, share their perspectives, and collaboratively analyze challenges and solutions. The goal is to foster a deeper understanding of context-driven conflict resolution strategies that can inform both local and global peacebuilding practices.",70,"No","No","EASA","Yes. There'll be a four women. There'll be practitioners from Africa.",2525,6,10276,NA,5,129.97,23154.97,NA,1050
"532","The African Perspective","workshop","supplies","Conflict Resolution Workshop: Lessons from Africa","This interactive workshop brings together experienced practitioners who are deeply engaged in conflict resolution and peacebuilding efforts across war-torn regions of Africa, including Sudan, Kenya, and Somalia. The purpose of the event is to shed light on African-led approaches to resolving conflict, rebuilding trust, and fostering sustainable peace in communities affected by violence, displacement, and political instability.

Participants will learn from real-life experiences and fieldwork insights shared by frontline peacebuilders. Through dynamic discussions, case study explorations, and hands-on activities, the workshop will explore traditional and innovative African methods of mediation, community reconciliation, and post-conflict healing.

This is not a lecture-style event—attendees will be encouraged to engage directly with the speakers, share their perspectives, and collaboratively analyze challenges and solutions. The goal is to foster a deeper understanding of context-driven conflict resolution strategies that can inform both local and global peacebuilding practices.",70,"No","No","EASA","Yes. There'll be a four women. There'll be practitioners from Africa.",2525,6,10276,NA,5,129.97,23154.97,NA,475
"533","The African Perspective","workshop","equipment","Conflict Resolution Workshop: Lessons from Africa","This interactive workshop brings together experienced practitioners who are deeply engaged in conflict resolution and peacebuilding efforts across war-torn regions of Africa, including Sudan, Kenya, and Somalia. The purpose of the event is to shed light on African-led approaches to resolving conflict, rebuilding trust, and fostering sustainable peace in communities affected by violence, displacement, and political instability.

Participants will learn from real-life experiences and fieldwork insights shared by frontline peacebuilders. Through dynamic discussions, case study explorations, and hands-on activities, the workshop will explore traditional and innovative African methods of mediation, community reconciliation, and post-conflict healing.

This is not a lecture-style event—attendees will be encouraged to engage directly with the speakers, share their perspectives, and collaboratively analyze challenges and solutions. The goal is to foster a deeper understanding of context-driven conflict resolution strategies that can inform both local and global peacebuilding practices.",70,"No","No","EASA","Yes. There'll be a four women. There'll be practitioners from Africa.",2525,6,10276,NA,5,129.97,23154.97,NA,250
"534","The African Perspective","workshop","services","Conflict Resolution Workshop: Lessons from Africa","This interactive workshop brings together experienced practitioners who are deeply engaged in conflict resolution and peacebuilding efforts across war-torn regions of Africa, including Sudan, Kenya, and Somalia. The purpose of the event is to shed light on African-led approaches to resolving conflict, rebuilding trust, and fostering sustainable peace in communities affected by violence, displacement, and political instability.

Participants will learn from real-life experiences and fieldwork insights shared by frontline peacebuilders. Through dynamic discussions, case study explorations, and hands-on activities, the workshop will explore traditional and innovative African methods of mediation, community reconciliation, and post-conflict healing.

This is not a lecture-style event—attendees will be encouraged to engage directly with the speakers, share their perspectives, and collaboratively analyze challenges and solutions. The goal is to foster a deeper understanding of context-driven conflict resolution strategies that can inform both local and global peacebuilding practices.",70,"No","No","EASA","Yes. There'll be a four women. There'll be practitioners from Africa.",2525,6,10276,NA,5,129.97,23154.97,NA,400
"535","The African Perspective","workshop","miscellaneous","Conflict Resolution Workshop: Lessons from Africa","This interactive workshop brings together experienced practitioners who are deeply engaged in conflict resolution and peacebuilding efforts across war-torn regions of Africa, including Sudan, Kenya, and Somalia. The purpose of the event is to shed light on African-led approaches to resolving conflict, rebuilding trust, and fostering sustainable peace in communities affected by violence, displacement, and political instability.

Participants will learn from real-life experiences and fieldwork insights shared by frontline peacebuilders. Through dynamic discussions, case study explorations, and hands-on activities, the workshop will explore traditional and innovative African methods of mediation, community reconciliation, and post-conflict healing.

This is not a lecture-style event—attendees will be encouraged to engage directly with the speakers, share their perspectives, and collaboratively analyze challenges and solutions. The goal is to foster a deeper understanding of context-driven conflict resolution strategies that can inform both local and global peacebuilding practices.",70,"No","No","EASA","Yes. There'll be a four women. There'll be practitioners from Africa.",2525,6,10276,NA,5,129.97,23154.97,NA,350
"536","The African Perspective","cultural","refreshments","Africa Day Celebration at UChicago","Organized by The African Perspective in collaboration with the East African Students Association (EASA)

Join us for a vibrant campus-wide celebration of Africa’s rich cultures, innovative spirit, and global contributions. The Africa Day Celebration will feature a dynamic cultural parade showcasing traditional attire, music, and dance from across the continent. A keynote speaker—an esteemed thought leader in African innovation and global development—will anchor the event with powerful reflections on Africa's past, present, and future.

Interactive exhibitions will spotlight African-led innovations in technology, sustainability, and the arts, highlighting the ingenuity and resilience that define the continent. This is more than a celebration—it's an educational experience that brings the UChicago community together to honor Africa’s diversity and amplify African voices on campus.

By collaborating with EASA, we aim to create an inclusive, high-impact event that fosters cross-cultural understanding and deepens appreciation for Africa’s contributions to the world. With your support, we can make Africa Day a flagship celebration of unity, identity, and forward-thinking excellence at the University of Chicago.",100,"No","No","EASA","Yes. There'll be 7 woman vendors . There'll be African, Asian, American, and European students",5600,6,10276,NA,5,129.97,23154.97,NA,3000
"537","The African Perspective","cultural","supplies","Africa Day Celebration at UChicago","Organized by The African Perspective in collaboration with the East African Students Association (EASA)

Join us for a vibrant campus-wide celebration of Africa’s rich cultures, innovative spirit, and global contributions. The Africa Day Celebration will feature a dynamic cultural parade showcasing traditional attire, music, and dance from across the continent. A keynote speaker—an esteemed thought leader in African innovation and global development—will anchor the event with powerful reflections on Africa's past, present, and future.

Interactive exhibitions will spotlight African-led innovations in technology, sustainability, and the arts, highlighting the ingenuity and resilience that define the continent. This is more than a celebration—it's an educational experience that brings the UChicago community together to honor Africa’s diversity and amplify African voices on campus.

By collaborating with EASA, we aim to create an inclusive, high-impact event that fosters cross-cultural understanding and deepens appreciation for Africa’s contributions to the world. With your support, we can make Africa Day a flagship celebration of unity, identity, and forward-thinking excellence at the University of Chicago.",100,"No","No","EASA","Yes. There'll be 7 woman vendors . There'll be African, Asian, American, and European students",5600,6,10276,NA,5,129.97,23154.97,NA,900
"538","The African Perspective","cultural","equipment","Africa Day Celebration at UChicago","Organized by The African Perspective in collaboration with the East African Students Association (EASA)

Join us for a vibrant campus-wide celebration of Africa’s rich cultures, innovative spirit, and global contributions. The Africa Day Celebration will feature a dynamic cultural parade showcasing traditional attire, music, and dance from across the continent. A keynote speaker—an esteemed thought leader in African innovation and global development—will anchor the event with powerful reflections on Africa's past, present, and future.

Interactive exhibitions will spotlight African-led innovations in technology, sustainability, and the arts, highlighting the ingenuity and resilience that define the continent. This is more than a celebration—it's an educational experience that brings the UChicago community together to honor Africa’s diversity and amplify African voices on campus.

By collaborating with EASA, we aim to create an inclusive, high-impact event that fosters cross-cultural understanding and deepens appreciation for Africa’s contributions to the world. With your support, we can make Africa Day a flagship celebration of unity, identity, and forward-thinking excellence at the University of Chicago.",100,"No","No","EASA","Yes. There'll be 7 woman vendors . There'll be African, Asian, American, and European students",5600,6,10276,NA,5,129.97,23154.97,NA,NA
"539","The African Perspective","cultural","services","Africa Day Celebration at UChicago","Organized by The African Perspective in collaboration with the East African Students Association (EASA)

Join us for a vibrant campus-wide celebration of Africa’s rich cultures, innovative spirit, and global contributions. The Africa Day Celebration will feature a dynamic cultural parade showcasing traditional attire, music, and dance from across the continent. A keynote speaker—an esteemed thought leader in African innovation and global development—will anchor the event with powerful reflections on Africa's past, present, and future.

Interactive exhibitions will spotlight African-led innovations in technology, sustainability, and the arts, highlighting the ingenuity and resilience that define the continent. This is more than a celebration—it's an educational experience that brings the UChicago community together to honor Africa’s diversity and amplify African voices on campus.

By collaborating with EASA, we aim to create an inclusive, high-impact event that fosters cross-cultural understanding and deepens appreciation for Africa’s contributions to the world. With your support, we can make Africa Day a flagship celebration of unity, identity, and forward-thinking excellence at the University of Chicago.",100,"No","No","EASA","Yes. There'll be 7 woman vendors . There'll be African, Asian, American, and European students",5600,6,10276,NA,5,129.97,23154.97,NA,1100
"540","The African Perspective","cultural","miscellaneous","Africa Day Celebration at UChicago","Organized by The African Perspective in collaboration with the East African Students Association (EASA)

Join us for a vibrant campus-wide celebration of Africa’s rich cultures, innovative spirit, and global contributions. The Africa Day Celebration will feature a dynamic cultural parade showcasing traditional attire, music, and dance from across the continent. A keynote speaker—an esteemed thought leader in African innovation and global development—will anchor the event with powerful reflections on Africa's past, present, and future.

Interactive exhibitions will spotlight African-led innovations in technology, sustainability, and the arts, highlighting the ingenuity and resilience that define the continent. This is more than a celebration—it's an educational experience that brings the UChicago community together to honor Africa’s diversity and amplify African voices on campus.

By collaborating with EASA, we aim to create an inclusive, high-impact event that fosters cross-cultural understanding and deepens appreciation for Africa’s contributions to the world. With your support, we can make Africa Day a flagship celebration of unity, identity, and forward-thinking excellence at the University of Chicago.",100,"No","No","EASA","Yes. There'll be 7 woman vendors . There'll be African, Asian, American, and European students",5600,6,10276,NA,5,129.97,23154.97,NA,600
"541","The African Perspective","community engagement","refreshments","Trip to the Swahili Institute at Chicago","This experiential learning trip to the Swahili Institute in Chicago is designed to deepen students' understanding of African languages and their role in shaping cultural identity and cross-cultural communication. With a focus on Swahili—a language spoken by over 100 million people across East and Central Africa—this visit will provide participants with a unique opportunity to engage with Africa’s linguistic heritage through interactive sessions led by language experts and cultural educators.

The purpose of this trip is to create space for dialogue around the importance of language in fostering mutual understanding, dismantling stereotypes, and promoting global citizenship. Participants will take part in guided activities that include Swahili language immersion, discussions on African oral traditions, and the role of language in unifying diverse communities.

This initiative supports the University of Chicago’s broader commitment to diversity, equity, and global engagement. With funding, we will be able to provide transportation, materials for interactive learning, and refreshments, ensuring full accessibility to all interested students. The experience will enrich academic and cultural exploration on campus and strengthen ties between students and Chicago’s African diaspora institutions.",80,"No","IDPA","Booth Africa","Yes. There'll be a woman or two. There'll be African, Asian, European, and American students",3750,6,10276,NA,5,129.97,23154.97,NA,1200
"542","The African Perspective","community engagement","supplies","Trip to the Swahili Institute at Chicago","This experiential learning trip to the Swahili Institute in Chicago is designed to deepen students' understanding of African languages and their role in shaping cultural identity and cross-cultural communication. With a focus on Swahili—a language spoken by over 100 million people across East and Central Africa—this visit will provide participants with a unique opportunity to engage with Africa’s linguistic heritage through interactive sessions led by language experts and cultural educators.

The purpose of this trip is to create space for dialogue around the importance of language in fostering mutual understanding, dismantling stereotypes, and promoting global citizenship. Participants will take part in guided activities that include Swahili language immersion, discussions on African oral traditions, and the role of language in unifying diverse communities.

This initiative supports the University of Chicago’s broader commitment to diversity, equity, and global engagement. With funding, we will be able to provide transportation, materials for interactive learning, and refreshments, ensuring full accessibility to all interested students. The experience will enrich academic and cultural exploration on campus and strengthen ties between students and Chicago’s African diaspora institutions.",80,"No","IDPA","Booth Africa","Yes. There'll be a woman or two. There'll be African, Asian, European, and American students",3750,6,10276,NA,5,129.97,23154.97,NA,450
"543","The African Perspective","community engagement","equipment","Trip to the Swahili Institute at Chicago","This experiential learning trip to the Swahili Institute in Chicago is designed to deepen students' understanding of African languages and their role in shaping cultural identity and cross-cultural communication. With a focus on Swahili—a language spoken by over 100 million people across East and Central Africa—this visit will provide participants with a unique opportunity to engage with Africa’s linguistic heritage through interactive sessions led by language experts and cultural educators.

The purpose of this trip is to create space for dialogue around the importance of language in fostering mutual understanding, dismantling stereotypes, and promoting global citizenship. Participants will take part in guided activities that include Swahili language immersion, discussions on African oral traditions, and the role of language in unifying diverse communities.

This initiative supports the University of Chicago’s broader commitment to diversity, equity, and global engagement. With funding, we will be able to provide transportation, materials for interactive learning, and refreshments, ensuring full accessibility to all interested students. The experience will enrich academic and cultural exploration on campus and strengthen ties between students and Chicago’s African diaspora institutions.",80,"No","IDPA","Booth Africa","Yes. There'll be a woman or two. There'll be African, Asian, European, and American students",3750,6,10276,NA,5,129.97,23154.97,NA,NA
"544","The African Perspective","community engagement","services","Trip to the Swahili Institute at Chicago","This experiential learning trip to the Swahili Institute in Chicago is designed to deepen students' understanding of African languages and their role in shaping cultural identity and cross-cultural communication. With a focus on Swahili—a language spoken by over 100 million people across East and Central Africa—this visit will provide participants with a unique opportunity to engage with Africa’s linguistic heritage through interactive sessions led by language experts and cultural educators.

The purpose of this trip is to create space for dialogue around the importance of language in fostering mutual understanding, dismantling stereotypes, and promoting global citizenship. Participants will take part in guided activities that include Swahili language immersion, discussions on African oral traditions, and the role of language in unifying diverse communities.

This initiative supports the University of Chicago’s broader commitment to diversity, equity, and global engagement. With funding, we will be able to provide transportation, materials for interactive learning, and refreshments, ensuring full accessibility to all interested students. The experience will enrich academic and cultural exploration on campus and strengthen ties between students and Chicago’s African diaspora institutions.",80,"No","IDPA","Booth Africa","Yes. There'll be a woman or two. There'll be African, Asian, European, and American students",3750,6,10276,NA,5,129.97,23154.97,NA,2000
"545","The African Perspective","community engagement","miscellaneous","Trip to the Swahili Institute at Chicago","This experiential learning trip to the Swahili Institute in Chicago is designed to deepen students' understanding of African languages and their role in shaping cultural identity and cross-cultural communication. With a focus on Swahili—a language spoken by over 100 million people across East and Central Africa—this visit will provide participants with a unique opportunity to engage with Africa’s linguistic heritage through interactive sessions led by language experts and cultural educators.

The purpose of this trip is to create space for dialogue around the importance of language in fostering mutual understanding, dismantling stereotypes, and promoting global citizenship. Participants will take part in guided activities that include Swahili language immersion, discussions on African oral traditions, and the role of language in unifying diverse communities.

This initiative supports the University of Chicago’s broader commitment to diversity, equity, and global engagement. With funding, we will be able to provide transportation, materials for interactive learning, and refreshments, ensuring full accessibility to all interested students. The experience will enrich academic and cultural exploration on campus and strengthen ties between students and Chicago’s African diaspora institutions.",80,"No","IDPA","Booth Africa","Yes. There'll be a woman or two. There'll be African, Asian, European, and American students",3750,6,10276,NA,5,129.97,23154.97,NA,100
"546","The African Perspective","speaker","refreshments","The New Scramble for Africa","The New Scramble for Africa: Charting a Way Forward is a flagship event designed to examine Africa’s evolving role in global politics and economics amidst increasing international competition for its resources and influence. Featuring a keynote address by renowned scholar James Robinson, the event will include dynamic panel discussions with faculty, students, and practitioners on critical topics such as governance strategies, resource exploitation, sustainable development, and Africa’s positioning in global engagements. The discussions will explore how Africa can balance foreign interests with national development priorities, foster equitable partnerships, and ensure that African voices shape the continent’s future.

In collaboration with ACSA (African and Caribbean Students Association), East African Students Association (EASA), and Booth Africa, we will promote the event and leverage shared resources to ensure broad engagement and participation. Attendees will gain a deeper understanding of the historical and current dimensions of international engagement with Africa and leave with actionable strategies to support sustainable and equitable development. The event will also create opportunities for building cross-disciplinary partnerships between academic institutions, policy organizations, and industry players, while showcasing diverse perspectives through the inclusion of African scholars, practitioners, and students.

By fostering critical dialogue on Africa’s global positioning and governance challenges, this event aims to inspire actionable solutions that prioritize Africa’s growth and empowerment. It will be a cornerstone of impactful discourse at the Harris School and UChicago at large, promoting a deeper understanding of Africa’s priorities and aspirations in a rapidly shifting global landscape.",150,"No","IDPA","EASA, BSA","Yes. There'll be a woman or two. There'll be POC, too",7900,6,10276,NA,5,129.97,23154.97,NA,4000
"547","The African Perspective","speaker","supplies","The New Scramble for Africa","The New Scramble for Africa: Charting a Way Forward is a flagship event designed to examine Africa’s evolving role in global politics and economics amidst increasing international competition for its resources and influence. Featuring a keynote address by renowned scholar James Robinson, the event will include dynamic panel discussions with faculty, students, and practitioners on critical topics such as governance strategies, resource exploitation, sustainable development, and Africa’s positioning in global engagements. The discussions will explore how Africa can balance foreign interests with national development priorities, foster equitable partnerships, and ensure that African voices shape the continent’s future.

In collaboration with ACSA (African and Caribbean Students Association), East African Students Association (EASA), and Booth Africa, we will promote the event and leverage shared resources to ensure broad engagement and participation. Attendees will gain a deeper understanding of the historical and current dimensions of international engagement with Africa and leave with actionable strategies to support sustainable and equitable development. The event will also create opportunities for building cross-disciplinary partnerships between academic institutions, policy organizations, and industry players, while showcasing diverse perspectives through the inclusion of African scholars, practitioners, and students.

By fostering critical dialogue on Africa’s global positioning and governance challenges, this event aims to inspire actionable solutions that prioritize Africa’s growth and empowerment. It will be a cornerstone of impactful discourse at the Harris School and UChicago at large, promoting a deeper understanding of Africa’s priorities and aspirations in a rapidly shifting global landscape.",150,"No","IDPA","EASA, BSA","Yes. There'll be a woman or two. There'll be POC, too",7900,6,10276,NA,5,129.97,23154.97,NA,750
"548","The African Perspective","speaker","equipment","The New Scramble for Africa","The New Scramble for Africa: Charting a Way Forward is a flagship event designed to examine Africa’s evolving role in global politics and economics amidst increasing international competition for its resources and influence. Featuring a keynote address by renowned scholar James Robinson, the event will include dynamic panel discussions with faculty, students, and practitioners on critical topics such as governance strategies, resource exploitation, sustainable development, and Africa’s positioning in global engagements. The discussions will explore how Africa can balance foreign interests with national development priorities, foster equitable partnerships, and ensure that African voices shape the continent’s future.

In collaboration with ACSA (African and Caribbean Students Association), East African Students Association (EASA), and Booth Africa, we will promote the event and leverage shared resources to ensure broad engagement and participation. Attendees will gain a deeper understanding of the historical and current dimensions of international engagement with Africa and leave with actionable strategies to support sustainable and equitable development. The event will also create opportunities for building cross-disciplinary partnerships between academic institutions, policy organizations, and industry players, while showcasing diverse perspectives through the inclusion of African scholars, practitioners, and students.

By fostering critical dialogue on Africa’s global positioning and governance challenges, this event aims to inspire actionable solutions that prioritize Africa’s growth and empowerment. It will be a cornerstone of impactful discourse at the Harris School and UChicago at large, promoting a deeper understanding of Africa’s priorities and aspirations in a rapidly shifting global landscape.",150,"No","IDPA","EASA, BSA","Yes. There'll be a woman or two. There'll be POC, too",7900,6,10276,NA,5,129.97,23154.97,NA,2300
"549","The African Perspective","speaker","services","The New Scramble for Africa","The New Scramble for Africa: Charting a Way Forward is a flagship event designed to examine Africa’s evolving role in global politics and economics amidst increasing international competition for its resources and influence. Featuring a keynote address by renowned scholar James Robinson, the event will include dynamic panel discussions with faculty, students, and practitioners on critical topics such as governance strategies, resource exploitation, sustainable development, and Africa’s positioning in global engagements. The discussions will explore how Africa can balance foreign interests with national development priorities, foster equitable partnerships, and ensure that African voices shape the continent’s future.

In collaboration with ACSA (African and Caribbean Students Association), East African Students Association (EASA), and Booth Africa, we will promote the event and leverage shared resources to ensure broad engagement and participation. Attendees will gain a deeper understanding of the historical and current dimensions of international engagement with Africa and leave with actionable strategies to support sustainable and equitable development. The event will also create opportunities for building cross-disciplinary partnerships between academic institutions, policy organizations, and industry players, while showcasing diverse perspectives through the inclusion of African scholars, practitioners, and students.

By fostering critical dialogue on Africa’s global positioning and governance challenges, this event aims to inspire actionable solutions that prioritize Africa’s growth and empowerment. It will be a cornerstone of impactful discourse at the Harris School and UChicago at large, promoting a deeper understanding of Africa’s priorities and aspirations in a rapidly shifting global landscape.",150,"No","IDPA","EASA, BSA","Yes. There'll be a woman or two. There'll be POC, too",7900,6,10276,NA,5,129.97,23154.97,NA,250
"550","The African Perspective","speaker","miscellaneous","The New Scramble for Africa","The New Scramble for Africa: Charting a Way Forward is a flagship event designed to examine Africa’s evolving role in global politics and economics amidst increasing international competition for its resources and influence. Featuring a keynote address by renowned scholar James Robinson, the event will include dynamic panel discussions with faculty, students, and practitioners on critical topics such as governance strategies, resource exploitation, sustainable development, and Africa’s positioning in global engagements. The discussions will explore how Africa can balance foreign interests with national development priorities, foster equitable partnerships, and ensure that African voices shape the continent’s future.

In collaboration with ACSA (African and Caribbean Students Association), East African Students Association (EASA), and Booth Africa, we will promote the event and leverage shared resources to ensure broad engagement and participation. Attendees will gain a deeper understanding of the historical and current dimensions of international engagement with Africa and leave with actionable strategies to support sustainable and equitable development. The event will also create opportunities for building cross-disciplinary partnerships between academic institutions, policy organizations, and industry players, while showcasing diverse perspectives through the inclusion of African scholars, practitioners, and students.

By fostering critical dialogue on Africa’s global positioning and governance challenges, this event aims to inspire actionable solutions that prioritize Africa’s growth and empowerment. It will be a cornerstone of impactful discourse at the Harris School and UChicago at large, promoting a deeper understanding of Africa’s priorities and aspirations in a rapidly shifting global landscape.",150,"No","IDPA","EASA, BSA","Yes. There'll be a woman or two. There'll be POC, too",7900,6,10276,NA,5,129.97,23154.97,NA,600
"551","The African Perspective","film screening","refreshments","Movie Screening","The Movie Screening event offers a unique opportunity to experience the power of African cinema while engaging in meaningful discussions about identity, history, development, and cultural exchange. The event will feature a carefully selected African film that highlights the richness and complexity of African stories, followed by a moderated discussion led by knowledgeable faculty and students. This dialogue will encourage attendees to reflect on the film’s cultural, historical, and social significance, exploring how its narrative connects to broader themes of African resilience, identity, and global engagement.

For Harris School students, this event provides a distinct benefit by offering an immersive lens into African socio-political and cultural dynamics. It complements their academic studies by illustrating how storytelling can influence policy, shape societal norms, and drive conversations about development and equity. Through this event, Harris students will gain insights into the intersection of culture and public policy, fostering a deeper understanding of how narratives can inform and inspire effective policymaking.

Participants will leave with an enriched perspective on African cinema’s ability to address pressing themes, inspire change, and bridge cultural divides, while building meaningful connections within a diverse and engaged community. This event is not just a celebration of African storytelling but also an essential platform for critical learning and dialogue.",40,"No","No","No","No",1400,6,10276,NA,5,129.97,23154.97,NA,600
"552","The African Perspective","film screening","supplies","Movie Screening","The Movie Screening event offers a unique opportunity to experience the power of African cinema while engaging in meaningful discussions about identity, history, development, and cultural exchange. The event will feature a carefully selected African film that highlights the richness and complexity of African stories, followed by a moderated discussion led by knowledgeable faculty and students. This dialogue will encourage attendees to reflect on the film’s cultural, historical, and social significance, exploring how its narrative connects to broader themes of African resilience, identity, and global engagement.

For Harris School students, this event provides a distinct benefit by offering an immersive lens into African socio-political and cultural dynamics. It complements their academic studies by illustrating how storytelling can influence policy, shape societal norms, and drive conversations about development and equity. Through this event, Harris students will gain insights into the intersection of culture and public policy, fostering a deeper understanding of how narratives can inform and inspire effective policymaking.

Participants will leave with an enriched perspective on African cinema’s ability to address pressing themes, inspire change, and bridge cultural divides, while building meaningful connections within a diverse and engaged community. This event is not just a celebration of African storytelling but also an essential platform for critical learning and dialogue.",40,"No","No","No","No",1400,6,10276,NA,5,129.97,23154.97,NA,200
"553","The African Perspective","film screening","equipment","Movie Screening","The Movie Screening event offers a unique opportunity to experience the power of African cinema while engaging in meaningful discussions about identity, history, development, and cultural exchange. The event will feature a carefully selected African film that highlights the richness and complexity of African stories, followed by a moderated discussion led by knowledgeable faculty and students. This dialogue will encourage attendees to reflect on the film’s cultural, historical, and social significance, exploring how its narrative connects to broader themes of African resilience, identity, and global engagement.

For Harris School students, this event provides a distinct benefit by offering an immersive lens into African socio-political and cultural dynamics. It complements their academic studies by illustrating how storytelling can influence policy, shape societal norms, and drive conversations about development and equity. Through this event, Harris students will gain insights into the intersection of culture and public policy, fostering a deeper understanding of how narratives can inform and inspire effective policymaking.

Participants will leave with an enriched perspective on African cinema’s ability to address pressing themes, inspire change, and bridge cultural divides, while building meaningful connections within a diverse and engaged community. This event is not just a celebration of African storytelling but also an essential platform for critical learning and dialogue.",40,"No","No","No","No",1400,6,10276,NA,5,129.97,23154.97,NA,NA
"554","The African Perspective","film screening","services","Movie Screening","The Movie Screening event offers a unique opportunity to experience the power of African cinema while engaging in meaningful discussions about identity, history, development, and cultural exchange. The event will feature a carefully selected African film that highlights the richness and complexity of African stories, followed by a moderated discussion led by knowledgeable faculty and students. This dialogue will encourage attendees to reflect on the film’s cultural, historical, and social significance, exploring how its narrative connects to broader themes of African resilience, identity, and global engagement.

For Harris School students, this event provides a distinct benefit by offering an immersive lens into African socio-political and cultural dynamics. It complements their academic studies by illustrating how storytelling can influence policy, shape societal norms, and drive conversations about development and equity. Through this event, Harris students will gain insights into the intersection of culture and public policy, fostering a deeper understanding of how narratives can inform and inspire effective policymaking.

Participants will leave with an enriched perspective on African cinema’s ability to address pressing themes, inspire change, and bridge cultural divides, while building meaningful connections within a diverse and engaged community. This event is not just a celebration of African storytelling but also an essential platform for critical learning and dialogue.",40,"No","No","No","No",1400,6,10276,NA,5,129.97,23154.97,NA,500
"555","The African Perspective","film screening","miscellaneous","Movie Screening","The Movie Screening event offers a unique opportunity to experience the power of African cinema while engaging in meaningful discussions about identity, history, development, and cultural exchange. The event will feature a carefully selected African film that highlights the richness and complexity of African stories, followed by a moderated discussion led by knowledgeable faculty and students. This dialogue will encourage attendees to reflect on the film’s cultural, historical, and social significance, exploring how its narrative connects to broader themes of African resilience, identity, and global engagement.

For Harris School students, this event provides a distinct benefit by offering an immersive lens into African socio-political and cultural dynamics. It complements their academic studies by illustrating how storytelling can influence policy, shape societal norms, and drive conversations about development and equity. Through this event, Harris students will gain insights into the intersection of culture and public policy, fostering a deeper understanding of how narratives can inform and inspire effective policymaking.

Participants will leave with an enriched perspective on African cinema’s ability to address pressing themes, inspire change, and bridge cultural divides, while building meaningful connections within a diverse and engaged community. This event is not just a celebration of African storytelling but also an essential platform for critical learning and dialogue.",40,"No","No","No","No",1400,6,10276,NA,5,129.97,23154.97,NA,100
"556","UC3P","promotion","refreshments","Squarespace Subscription","This is to pay for our website, uc3p.org, that we host through Squarespace",NA,"FALSE","FALSE","FALSE","FALSE",275,3,240,NA,3,2644.51,2919.19,NA,NA
"557","UC3P","promotion","supplies","Squarespace Subscription","This is to pay for our website, uc3p.org, that we host through Squarespace",NA,"FALSE","FALSE","FALSE","FALSE",275,3,240,NA,3,2644.51,2919.19,NA,NA
"558","UC3P","promotion","equipment","Squarespace Subscription","This is to pay for our website, uc3p.org, that we host through Squarespace",NA,"FALSE","FALSE","FALSE","FALSE",275,3,240,NA,3,2644.51,2919.19,NA,NA
"559","UC3P","promotion","services","Squarespace Subscription","This is to pay for our website, uc3p.org, that we host through Squarespace",NA,"FALSE","FALSE","FALSE","FALSE",275,3,240,NA,3,2644.51,2919.19,NA,NA
"560","UC3P","promotion","miscellaneous","Squarespace Subscription","This is to pay for our website, uc3p.org, that we host through Squarespace",NA,"FALSE","FALSE","FALSE","FALSE",275,3,240,NA,3,2644.51,2919.19,NA,275
